TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.708958,0.855195,0.681863,0.868179,0.811304,5.37407e-9
0.02,0.694931,0.826914,0.6764,0.862004,0.794967,1.31703e-5
0.04,0.675068,0.798714,0.674386,0.86052,0.771961,5.37504e-5
0.06,0.664858,0.782323,0.671784,0.857541,0.760001,1.21744e-4
0.08,0.650289,0.767653,0.666826,0.852074,0.743064,2.17151e-4
0.1,0.637325,0.752039,0.664758,0.850557,0.727969,3.39967e-4
0.12,0.629314,0.741561,0.662874,0.848332,0.718536,4.90189e-4
0.14,0.624505,0.728845,0.6588,0.842767,0.712763,6.67813e-4
0.16,0.60907,0.708857,0.656167,0.840239,0.694869,8.72834e-4
0.18,0.599439,0.700759,0.653661,0.837055,0.683602,0.00110525
0.2,0.591845,0.686403,0.651222,0.833698,0.674663,0.00136504
0.22,0.578026,0.672289,0.649179,0.832343,0.658634,0.00165222
0.24,0.577234,0.66113,0.650564,0.833831,0.657454,0.00196677
0.26,0.570385,0.654164,0.649253,0.832965,0.649377,0.00230868
0.28,0.56269,0.64819,0.645403,0.827553,0.640342,0.00267794
0.3,0.552987,0.628043,0.642617,0.824461,0.629026,0.00307454
0.32,0.542677,0.613215,0.638921,0.820278,0.617026,0.00349847
0.34,0.532033,0.610101,0.635967,0.816689,0.604654,0.00394972
0.36,0.522912,0.605964,0.632488,0.811836,0.594017,0.00442828
0.38,0.512431,0.59677,0.628362,0.806592,0.581843,0.00493414
0.4,0.512982,0.589539,0.629995,0.808136,0.582198,0.00546727
0.42,0.50323,0.580724,0.627112,0.80465,0.570863,0.00602767
0.44,0.493447,0.566319,0.624342,0.801671,0.5595,0.00661532
0.46,0.481683,0.552853,0.622435,0.800254,0.545897,0.00723021
0.48,0.478795,0.541294,0.62256,0.799864,0.542359,0.00787231
0.5,0.469327,0.535456,0.619049,0.796129,0.531372,0.00854161
0.52,0.461621,0.526831,0.616542,0.793547,0.522385,0.0092381
0.54,0.459038,0.516432,0.61548,0.792342,0.5192,0.00996174
0.56,0.451488,0.512909,0.611944,0.787214,0.510401,0.0107125
0.58,0.446206,0.505971,0.611042,0.785998,0.504171,0.0114904
0.6,0.440848,0.498022,0.611977,0.787185,0.497859,0.0122954
0.62,0.431825,0.487929,0.610536,0.786293,0.487414,0.0131275
0.64,0.426224,0.478597,0.609567,0.78593,0.480837,0.0139867
0.66,0.422563,0.476221,0.608973,0.785655,0.476452,0.0148729
0.68,0.416477,0.468975,0.609855,0.787209,0.469337,0.015786
0.7,0.412757,0.45872,0.609169,0.786706,0.464894,0.0167262
0.72,0.408437,0.45191,0.610066,0.788144,0.459777,0.0176933
0.74,0.40258,0.447912,0.608683,0.786829,0.452935,0.0186874
0.76,0.399724,0.438961,0.607133,0.785209,0.449473,0.0197083
0.78,0.394268,0.434711,0.608876,0.788308,0.443091,0.0207562
